      AZ      EL   RANGE     LAT     LON     ALT  AP_LAT  AP_LON L_SHELL INV_LAT  ASPECT     CXR     CYR     CZR
 -120.00    6.00 1260.00   36.52  -83.23  249.31   46.91  -81.06    2.21   47.74  118.53    0.32   -0.82    0.48
 -120.00    6.00 1270.00   36.47  -83.31  252.21   46.88  -81.17    2.21   47.71  118.66    0.32   -0.82    0.48
 -120.00    6.00 1280.00   36.42  -83.40  255.12   46.85  -81.29    2.21   47.68  118.80    0.32   -0.82    0.48
 -120.00    6.00 1290.00   36.37  -83.48  258.04   46.82  -81.41    2.20   47.64  118.93    0.32   -0.81    0.48
 -120.00    6.00 1300.00   36.32  -83.56  260.98   46.79  -81.52    2.20   47.61  119.06    0.32   -0.81    0.49
 -120.00    6.00 1310.00   36.27  -83.64  263.94   46.76  -81.64    2.20   47.58  119.19    0.32   -0.81    0.49
 -120.00    6.00 1320.00   36.21  -83.72  266.90   46.72  -81.75    2.19   47.55  119.32    0.32   -0.81    0.49
 -120.00    6.00 1330.00   36.16  -83.80  269.88   46.69  -81.87    2.19   47.51  119.45    0.32   -0.81    0.49
 -120.00    6.00 1340.00   36.11  -83.88  272.88   46.66  -81.98    2.19   47.48  119.58    0.32   -0.81    0.49
 -120.00    6.00 1350.00   36.06  -83.96  275.88   46.63  -82.10    2.19   47.45  119.72    0.32   -0.81    0.50
 -120.00    6.00 1360.00   36.01  -84.04  278.91   46.60  -82.21    2.18   47.42  119.85    0.32   -0.80    0.50
 -120.00    6.00 1370.00   35.96  -84.12  281.94   46.57  -82.33    2.18   47.39  119.98    0.32   -0.80    0.50
 -120.00    6.00 1380.00   35.91  -84.20  284.99   46.54  -82.44    2.18   47.36  120.11    0.32   -0.80    0.50
 -120.00    6.00 1390.00   35.86  -84.28  288.05   46.51  -82.55    2.18   47.32  120.24    0.32   -0.80    0.50
 -120.00    6.00 1400.00   35.81  -84.36  291.13   46.47  -82.67    2.17   47.29  120.37    0.33   -0.80    0.51
 -120.00    6.00 1410.00   35.76  -84.44  294.22   46.44  -82.78    2.17   47.26  120.50    0.33   -0.80    0.51
 -120.00    6.00 1420.00   35.71  -84.52  297.32   46.41  -82.89    2.17   47.23  120.63    0.33   -0.80    0.51
 -120.00    6.00 1430.00   35.66  -84.59  300.44   46.38  -83.01    2.17   47.20  120.76    0.33   -0.80    0.51
 -120.00    6.00 1440.00   35.61  -84.67  303.57   46.35  -83.12    2.16   47.17  120.89    0.33   -0.79    0.51
 -120.00    6.00 1450.00   35.56  -84.75  306.71   46.32  -83.23    2.16   47.14  121.02    0.33   -0.79    0.52
 -120.00    6.00 1460.00   35.51  -84.83  309.87   46.29  -83.34    2.16   47.10  121.15    0.33   -0.79    0.52
 -120.00    6.00 1470.00   35.45  -84.91  313.04   46.25  -83.45    2.16   47.07  121.28    0.33   -0.79    0.52
